movieid	itemtitle	no_user
1666	Ripe (1996)	1
1571	Touki Bouki (Journey of the Hyena) (1973)	1
1572	Wend Kuuni (God's Gift) (1982)	1
1574	Pharaoh's Army (1995)	1
1575	I, Worst of All (Yo, la peor de todas) (1990)	1
1576	Hungarian Fairy Tale, A (1987)	1
1577	Death in the Garden (Mort en ce jardin, La) (1956)	1
1373	Good Morning (1971)	1
1579	Baton Rouge (1988)	1
1580	Liebelei (1933)	1
1581	Woman in Question, The (1950)	1
1582	T-Men (1947)	1
1583	Invitation, The (Zaproszenie) (1986)	1
1584	Symphonie pastorale, La (1946)	1
1586	Lashou shentan (1992)	1
1587	Terror in a Texas Town (1958)	1
1665	Brother's Kiss, A (1997)	1
1655	Favor, The (1994)	1
1122	They Made Me a Criminal (1939)	1
1201	Marlene Dietrich: Shadow and Light (1996) 	1
1593	Death in Brunswick (1991)	1
1156	Cyclo (1995)	1
1595	Shopping (1994)	1
1352	Shadow of Angels (Schatten der Engel) (1976)	1
1599	Someone Else's America (1995)	1
1601	Office Killer (1997)	1
1603	Angela (1995)	1
1604	He Walked by Night (1948)	1
1606	Deceiver (1997)	1
1366	JLG/JLG - autoportrait de d�cembre (1994)	1
1130	Jupiter's Wife (1994)	1
1613	Tokyo Fist (1995)	1
1614	Reluctant Debutante, The (1958)	1
711	Substance of Fire, The (1996)	1
1675	Sunchaser, The (1996)	1
1616	Desert Winds (1995)	1
1618	King of New York (1990)	1
1619	All Things Fair (1996)	1
814	Great Day in Harlem, A (1994)	1
1663	Nothing Personal (1995)	1
1621	Butterfly Kiss (1995)	1
1624	Hush (1998)	1
1625	Nightwatch (1997)	1
1626	Nobody Loves Me (Keiner liebt mich) (1994)	1
1627	Wife, The (1995)	1
1630	Silence of the Palace, The (Saimt el Qusur) (1994)	1
1632	Land and Freedom (Tierra y libertad) (1995)	1
1633	� k�ldum klaka (Cold Fever) (1994)	1
1634	Etz Hadomim Tafus (Under the Domin Tree) (1994)	1
1635	Two Friends (1986) 	1
1636	Brothers in Trouble (1995)	1
1637	Girls Town (1996)	1
830	Power 98 (1995)	1
1638	Normal Life (1996)	1
1640	Eighth Day, The (1996)	1
1641	Dadetown (1995)	1
1363	Leopard Son, The (1996)	1
1645	Butcher Boy, The (1998)	1
1647	Hana-bi (1997)	1
1648	Niagara, Niagara (1997)	1
1649	Big One, The (1997)	1
1414	Coldblooded (1995)	1
1461	Here Comes Cookie (1935)	1
1650	Butcher Boy, The (1998)	1
1460	Sleepover (1995)	1
1329	Low Life, The (1994)	1
1682	Scream of Stone (Schrei aus Stein) (1991)	1
1668	Wedding Bell Blues (1996)	1
1651	Spanish Prisoner, The (1997)	1
1680	Sliding Doors (1998)	1
1476	Raw Deal (1948)	1
1458	Damsel in Distress, A (1937)	1
1325	August (1996)	1
1659	Getting Away With Murder (1996)	1
1482	Gate of Heavenly Peace, The (1995)	1
1679	B. Monkey (1998)	1
1653	Entertaining Angels: The Dorothy Day Story (1996)	1
1486	Girl in the Cadillac (1995)	1
1671	Further Gesture, A (1996)	1
1457	Love Is All There Is (1996)	1
1339	Stefano Quantestorie (1993)	1
1669	MURDER and murder (1996)	1
1674	Mamma Roma (1962)	1
1492	Window to Paris (1994)	1
1493	Modern Affair, A (1995)	1
1494	Mostro, Il (1994)	1
677	Fire on the Mountain (1996)	1
1235	Big Bang Theory, The (1994)	1
1498	Farmer & Chase (1995)	1
1340	Crude Oasis, The (1995)	1
1236	Other Voices, Other Rooms (1997)	1
